Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM
1.246,1770767785.246036,17:56:25,16.46
2.246,1770767786.2457771,17:56:26,nan
3.246,1770767787.2457852,17:56:27,nan
4.246,1770767788.2457633,17:56:28,nan
5.246,1770767789.2457678,17:56:29,nan
6.246,1770767790.2457812,17:56:30,nan
7.246,1770767791.2457564,17:56:31,nan
8.246,1770767792.2457764,17:56:32,nan
9.246,1770767793.2457545,17:56:33,nan
10.246,1770767794.2457545,17:56:34,nan
11.246,1770767795.2457774,17:56:35,16.46
12.246,1770767796.2457795,17:56:36,nan
13.246,1770767797.245781,17:56:37,nan
14.246,1770767798.2457557,17:56:38,nan
15.246,1770767799.2457547,17:56:39,nan
16.246,1770767800.2457533,17:56:40,nan
17.246,1770767801.246189,17:56:41,nan
18.246,1770767802.245757,17:56:42,nan
19.246,1770767803.2458334,17:56:43,nan
20.247,1770767804.2467787,17:56:44,nan
21.246,1770767805.2457643,17:56:45,18.91
22.246,1770767806.2457764,17:56:46,nan
23.246,1770767807.24578,17:56:47,nan
24.246,1770767808.245779,17:56:48,nan
25.246,1770767809.2458014,17:56:49,nan
26.246,1770767810.2457762,17:56:50,nan
27.246,1770767811.245779,17:56:51,nan
28.246,1770767812.2459006,17:56:52,nan
29.246,1770767813.2457736,17:56:53,nan
30.246,1770767814.245773,17:56:54,nan
31.246,1770767815.2457588,17:56:55,21.82
32.246,1770767816.2457547,17:56:56,nan
33.246,1770767817.2457557,17:56:57,nan
34.246,1770767818.2457547,17:56:58,nan
35.246,1770767819.2457604,17:56:59,nan
36.246,1770767820.2457726,17:57:00,nan
37.247,1770767821.246795,17:57:01,nan
38.246,1770767822.2457776,17:57:02,nan
39.246,1770767823.245758,17:57:03,nan
40.246,1770767824.245759,17:57:04,nan
41.246,1770767825.2457557,17:57:05,21.84
42.246,1770767826.2457566,17:57:06,nan
43.246,1770767827.245754,17:57:07,nan
44.246,1770767828.2457793,17:57:08,nan
45.246,1770767829.2457554,17:57:09,nan
46.246,1770767830.24576,17:57:10,nan
47.246,1770767831.2457557,17:57:11,nan
48.246,1770767832.2457576,17:57:12,nan
49.246,1770767833.245756,17:57:13,nan
50.246,1770767834.2457583,17:57:14,nan
51.246,1770767835.2457561,17:57:15,12.58
52.246,1770767836.2457545,17:57:16,nan
53.246,1770767837.245763,17:57:17,nan
54.246,1770767838.2457566,17:57:18,nan
55.246,1770767839.2457554,17:57:19,nan
56.246,1770767840.2457564,17:57:20,nan
57.246,1770767841.2457552,17:57:21,nan
58.246,1770767842.2457657,17:57:22,nan
59.246,1770767843.2457545,17:57:23,nan
60.246,1770767844.2457764,17:57:24,nan
61.246,1770767845.2457771,17:57:25,18.05
62.246,1770767846.2457685,17:57:26,nan
63.246,1770767847.245757,17:57:27,nan
64.246,1770767848.2457552,17:57:28,nan
65.246,1770767849.245757,17:57:29,nan
66.246,1770767850.2457507,17:57:30,nan
67.246,1770767851.245754,17:57:31,nan
68.246,1770767852.2457771,17:57:32,nan
69.246,1770767853.2457707,17:57:33,nan
70.246,1770767854.2457538,17:57:34,nan
71.246,1770767855.2457516,17:57:35,19.30
72.246,1770767856.2457533,17:57:36,nan
73.246,1770767857.2457552,17:57:37,nan
74.246,1770767858.2457566,17:57:38,nan
75.246,1770767859.2457802,17:57:39,nan
76.246,1770767860.2457614,17:57:40,nan
77.246,1770767861.2457557,17:57:41,nan
78.246,1770767862.2457519,17:57:42,nan
79.246,1770767863.2457533,17:57:43,nan
80.246,1770767864.2457535,17:57:44,nan
81.246,1770767865.2457752,17:57:45,18.33
82.246,1770767866.2457561,17:57:46,nan
83.246,1770767867.2458022,17:57:47,nan
84.246,1770767868.245793,17:57:48,nan
85.246,1770767869.2457755,17:57:49,nan
86.246,1770767870.245964,17:57:50,nan
87.246,1770767871.245759,17:57:51,nan
88.246,1770767872.2457688,17:57:52,nan
89.246,1770767873.2457566,17:57:53,nan
90.246,1770767874.2457545,17:57:54,nan
91.246,1770767875.2457597,17:57:55,17.42
92.247,1770767876.2467968,17:57:56,nan
93.248,1770767877.2480273,17:57:57,nan
94.246,1770767878.245835,17:57:58,nan
95.246,1770767879.2458775,17:57:59,nan
96.246,1770767880.245816,17:58:00,nan
97.246,1770767881.2458067,17:58:01,nan
98.246,1770767882.2457743,17:58:02,nan
99.246,1770767883.2457724,17:58:03,nan
100.246,1770767884.245767,17:58:04,nan
101.246,1770767885.2458127,17:58:05,17.27
102.246,1770767886.2457607,17:58:06,nan
103.246,1770767887.2457714,17:58:07,nan
104.248,1770767888.248402,17:58:08,nan
105.247,1770767889.2467403,17:58:09,nan
106.246,1770767890.2457774,17:58:10,nan
107.247,1770767891.2467973,17:58:11,nan
108.246,1770767892.2458904,17:58:12,nan
109.246,1770767893.2457793,17:58:13,nan
110.246,1770767894.2457674,17:58:14,nan
111.246,1770767895.2457733,17:58:15,20.13
112.246,1770767896.2457674,17:58:16,nan
113.246,1770767897.2458205,17:58:17,nan
114.246,1770767898.2457662,17:58:18,nan
115.246,1770767899.2458014,17:58:19,nan
116.246,1770767900.245763,17:58:20,nan
117.246,1770767901.2457747,17:58:21,nan
118.246,1770767902.245778,17:58:22,nan
119.246,1770767903.2457693,17:58:23,nan
120.246,1770767904.245761,17:58:24,nan
121.246,1770767905.245773,17:58:25,21.82
122.246,1770767906.245762,17:58:26,nan
123.246,1770767907.2457633,17:58:27,nan
124.246,1770767908.2457645,17:58:28,nan
125.246,1770767909.245764,17:58:29,nan
126.246,1770767910.2457616,17:58:30,nan
127.246,1770767911.245761,17:58:31,nan
128.246,1770767912.2457771,17:58:32,nan
129.246,1770767913.2458289,17:58:33,nan
130.246,1770767914.2457652,17:58:34,nan
131.246,1770767915.2457619,17:58:35,9.69
132.246,1770767916.2457614,17:58:36,nan
133.246,1770767917.2457645,17:58:37,nan
134.246,1770767918.245761,17:58:38,nan
135.246,1770767919.2457607,17:58:39,nan
136.246,1770767920.245762,17:58:40,nan
137.246,1770767921.2457619,17:58:41,nan
138.246,1770767922.245762,17:58:42,nan
139.246,1770767923.2457607,17:58:43,nan
140.246,1770767924.2457926,17:58:44,nan
141.246,1770767925.2457876,17:58:45,13.10
142.246,1770767926.2457945,17:58:46,nan
143.246,1770767927.2457871,17:58:47,nan
144.246,1770767928.2457962,17:58:48,nan
145.246,1770767929.245766,17:58:49,nan
146.246,1770767930.2457619,17:58:50,nan
147.246,1770767931.245762,17:58:51,nan
148.246,1770767932.2457628,17:58:52,nan
149.246,1770767933.2457638,17:58:53,nan
150.246,1770767934.2457616,17:58:54,nan
151.246,1770767935.2457633,17:58:55,10.88
152.246,1770767936.2457638,17:58:56,nan
153.246,1770767937.245766,17:58:57,nan
154.246,1770767938.2457619,17:58:58,nan
155.246,1770767939.245763,17:58:59,nan
156.246,1770767940.2457645,17:59:00,nan
157.246,1770767941.2457623,17:59:01,nan
158.246,1770767942.245763,17:59:02,nan
159.246,1770767943.2457662,17:59:03,nan
160.246,1770767944.2458138,17:59:04,nan
161.246,1770767945.2457683,17:59:05,6.84
162.246,1770767946.2457626,17:59:06,nan
163.246,1770767947.2457635,17:59:07,nan
164.246,1770767948.245766,17:59:08,nan
165.246,1770767949.2457597,17:59:09,nan
166.246,1770767950.2457635,17:59:10,nan
167.246,1770767951.2457583,17:59:11,nan
168.246,1770767952.2457602,17:59:12,nan
169.246,1770767953.2457588,17:59:13,nan
170.246,1770767954.2457573,17:59:14,nan
171.246,1770767955.245761,17:59:15,17.38
172.246,1770767956.2457619,17:59:16,nan
173.246,1770767957.2457633,17:59:17,nan
174.246,1770767958.2457614,17:59:18,nan
175.246,1770767959.2457616,17:59:19,nan
176.246,1770767960.2457938,17:59:20,nan
177.246,1770767961.245794,17:59:21,nan
178.246,1770767962.245961,17:59:22,nan
179.246,1770767963.2458293,17:59:23,nan
180.246,1770767964.2458014,17:59:24,nan
181.246,1770767965.2457905,17:59:25,15.50
182.246,1770767966.245801,17:59:26,nan
183.246,1770767967.2457972,17:59:27,nan
