Unix_Sec,Belt_BPM_step,Radar_BPM_mean,Quality_Flag,t_rel_from_enter,Radar_Rolling_Std,Error
1765495394,8.16,9.308808395920957,breathing,-28,0.25625018582291353,1.1488083959209572
1765495395,8.16,9.484641413079931,breathing,-27,0.3065582603074252,1.3246414130799309
1765495396,8.16,9.519590522668079,breathing,-26,0.3130766228408075,1.3595905226680784
1765495397,8.16,9.468138162434078,breathing,-25,0.29740290844387096,1.3081381624340782
1765495398,10.17,9.356372861217883,breathing,-24,0.2737427284436602,-0.8136271387821168
1765495399,10.17,9.24787742076588,breathing,-23,0.25364419992832093,-0.9221225792341201
1765495400,10.17,9.231712386842736,breathing,-22,0.2376665619197102,-0.9382876131572644
1765495401,10.17,9.23304615640771,breathing,-21,0.22435697243711733,-0.9369538435922902
1765495402,10.17,9.347609337743092,breathing,-20,0.1540618379806556,-0.8223906622569075
1765495403,10.17,9.6092274536161,breathing,-19,0.13269037987037927,-0.5607725463839
1765495404,10.17,9.878323263888259,breathing,-18,0.2023428546506199,-0.29167673611174116
1765495405,10.17,10.226270130938088,breathing,-17,0.32200588304089883,0.056270130938088414
1765495406,10.17,10.797080786329575,breathing,-16,0.5187415458343272,0.6270807863295751
1765495407,10.17,11.135770961736387,breathing,-15,0.6954596938081457,0.9657709617363874
1765495408,10.73,11.36604623749658,breathing,-14,0.8286103488723858,0.6360462374965792
1765495409,10.73,11.514681918331629,breathing,-13,0.9043726851379098,0.7846819183316285
1765495410,10.73,11.67564006271031,breathing,-12,0.9331898719344474,0.945640062710309
1765495411,10.73,11.747594459405168,breathing,-11,0.8984799401700333,1.0175944594051671
1765495412,10.73,11.981965492186339,breathing,-10,0.8319155342414355,1.2519654921863381
1765495413,10.73,12.299587035041135,breathing,-9,0.767093465100297,1.5695870350411347
1765495414,10.73,12.605242205489176,breathing,-8,0.7024090730478161,1.875242205489176
1765495415,10.73,12.942475485652192,breathing,-7,0.6642379382545871,2.2124754856521918
1765495416,10.73,13.16315971706901,breathing,-6,0.6857405214680887,2.4331597170690102
1765495417,10.73,13.206505328720715,breathing,-5,0.6938740333495761,2.476505328720714
1765495418,10.21,13.498396908927774,breathing,-4,0.7191309053321812,3.2883969089277727
1765495419,10.21,13.946908660465041,breathing,-3,0.7719308549536312,3.7369086604650406
1765495420,10.21,15.213187817460238,breathing,-2,1.0181972662979595,5.003187817460237
1765495421,10.21,13.748115432634961,breathing,-1,0.9237247918397784,3.53811543263496
1765495422,10.21,5.166884642333033,breathing,0,2.726568363866354,-5.043115357666968
1765495423,10.21,4.843684300262844,breathing,1,3.668276237043442,-5.366315699737157
1765495424,10.21,4.808310642323226,breathing,2,4.265938152764553,-5.401689357676775
1765495425,10.21,4.885370852295161,breathing,3,4.616085240417913,-5.32462914770484
1765495426,10.21,5.17862807362682,breathing,4,4.744589020705238,-5.031371926373181
1765495427,10.21,5.91354651047371,breathing,5,4.662745088827645,-4.296453489526291
1765495428,13.53,6.6829877027645725,breathing,6,4.376023347729671,-6.847012297235427
1765495429,13.53,7.458576310794316,breathing,7,3.8523701489041433,-6.071423689205683
1765495430,13.53,8.381649262963254,breathing,8,2.762445447471915,-5.148350737036745
1765495431,13.53,9.156212201484005,breathing,9,1.5982857853770973,-4.373787798515995
1765495432,13.53,9.776233393328276,breathing,10,1.890017437755657,-3.7537666066717232
1765495433,13.53,10.38153054804098,breathing,11,2.084229520793236,-3.14846945195902
1765495434,13.53,11.027314989890579,breathing,12,2.1954936237299183,-2.5026850101094205
1765495435,13.53,11.501196956839642,breathing,13,2.188211840664238,-2.028803043160357
1765495436,13.53,11.94591208162171,breathing,14,2.0746595312107847,-1.5840879183782892
1765495437,13.53,12.210446686199111,breathing,15,1.9076240343318287,-1.3195533138008884
1765495438,13.06,12.42756207389512,breathing,16,1.7009724595930291,-0.6324379261048811
1765495439,13.06,12.658000354686516,breathing,17,1.4721748026819372,-0.4019996453134844
1765495440,13.06,12.728919437362121,breathing,18,1.2566910447545279,-0.33108056263787944
1765495441,13.06,12.8841364873762,breathing,19,1.0609726247958402,-0.17586351262380084
1765495442,13.06,13.040866862115696,breathing,20,0.8697911929313292,-0.01913313788430493
1765495443,13.06,13.171824483003883,breathing,21,0.6939623485639899,0.11182448300388259
1765495444,13.06,13.328610562950667,breathing,22,0.5743182069768432,0.2686105629506663
1765495445,13.06,13.417671290875287,breathing,23,0.48325291043770213,0.3576712908752864
1765495446,13.06,13.447304104688627,breathing,24,0.42449783548931297,0.3873041046886261
1765495447,13.06,13.098171747440654,breathing,25,0.3416920220368584,0.03817174744065355
1765495448,12.93,12.55956589065187,breathing,26,0.3179752491232828,-0.37043410934813004
1765495449,12.93,11.685147097996557,breathing,27,0.5262444940695108,-1.2448529020034425
1765495450,12.93,10.562593871252876,breathing,28,0.9197969595504304,-2.367406128747124
1765495451,12.93,9.475924781901558,breathing,29,1.372221663225949,-3.454075218098442
1765495452,12.93,8.816713741561305,breathing,30,1.7452296856434724,-4.113286258438695
1765495453,12.93,7.642079735436489,breathing,31,2.1470965510035285,-5.28792026456351
1765495454,12.93,6.882894532025018,breathing,32,2.4509349890093493,-6.047105467974982
1765495455,12.93,6.438094386705284,breathing,33,2.5989588770394727,-6.4919056132947155
1765495456,12.93,6.252392672310652,breathing,34,2.552795230809041,-6.677607327689348
1765495457,12.93,11.742232371872506,breathing,35,2.3597919412321926,-1.187767628127494
1765495458,12.47,14.95200682081116,breathing,36,2.8149699932500205,2.4820068208111596
1765495459,12.47,14.060648660867292,breathing,37,3.1098074132010107,1.5906486608672914
1765495460,12.47,10.5366387429919,breathing,38,3.1090020325743626,-1.9333612570080998
1765495461,12.47,10.240917811014262,breathing,39,3.1128329462751263,-2.229082188985739
1765495462,12.47,10.017434946362844,breathing,40,3.095666642206029,-2.452565053637157
1765495463,12.47,9.956431741036402,breathing,41,2.994927982626679,-2.5135682589635984
1765495464,12.47,9.94289033800659,breathing,42,2.77721141422378,-2.5271096619934106
1765495465,12.47,9.986334603336562,breathing,43,2.415975110175651,-2.4836653966634383
1765495466,12.47,10.131474221829373,breathing,44,1.8569987296426682,-2.3385257781706272
1765495467,12.47,10.391489401844728,breathing,45,1.858800382330855,-2.0785105981552725
1765495468,11.29,10.64285488580972,breathing,46,1.2443182494727794,-0.6471451141902786
1765495469,11.29,10.93230697008934,breathing,47,0.3387104246754018,-0.35769302991066
1765495470,11.29,11.173229847362103,breathing,48,0.4380127545074369,-0.11677015263789592
1765495471,11.29,11.386971539649238,breathing,49,0.5455031314849355,0.09697153964923899
1765495472,11.29,11.555342710530685,breathing,50,0.6198051445557466,0.26534271053068537
1765495473,11.29,11.77318124339145,breathing,51,0.6711062027998342,0.4831812433914511
1765495474,11.29,11.96039544271171,breathing,52,0.6905845559890671,0.67039544271171
1765495475,11.29,12.113928053177611,breathing,53,0.6733893232389997,0.8239280531776121
1765495476,11.29,12.33273046400418,breathing,54,0.6421253440984229,1.0427304640041815
1765495477,11.29,12.386505237614829,breathing,55,0.5929497011201778,1.0965052376148297
1765495478,11.33,12.272855575977536,breathing,56,0.5111310121187885,0.9428555759775357
1765495479,11.33,12.065244184761521,breathing,57,0.4171205383229617,0.7352441847615214
1765495480,11.33,11.60814528999153,breathing,58,0.3499526912284657,0.27814528999152976
1765495481,11.33,11.175943004603598,breathing,59,0.39129773398253925,-0.15405699539640239
1765495482,11.33,10.750643699298141,breathing,60,0.5327929990156599,-0.5793563007018587
1765495483,11.33,10.37819151605667,breathing,61,0.7073955080284141,-0.9518084839433296
1765495484,11.33,10.019403917692951,breathing,62,0.8756480188889564,-1.3105960823070486
1765495485,11.33,9.900358914660004,breathing,63,0.9797194232226155,-1.4296410853399966
1765495486,11.33,9.894783312899511,breathing,64,0.9943602199862668,-1.435216687100489
1765495487,11.33,9.876406719022922,breathing,65,0.933078908017066,-1.4535932809770777
1765495488,11.13,9.9746866242555,breathing,66,0.8022701869409817,-1.1553133757445
1765495489,11.13,10.071708372972193,breathing,67,0.6133200603082576,-1.058291627027808
1765495490,11.13,10.204655640454652,breathing,68,0.4306134413405002,-0.925344359545349
1765495491,11.13,10.502713500118926,breathing,69,0.297382374204762,-0.627286499881075
1765495492,11.13,11.020762548900663,breathing,70,0.362416436972052,-0.10923745109933769
1765495493,11.13,11.625877819950952,breathing,71,0.5837450154478083,0.4958778199509517
1765495494,11.13,11.961103854347225,breathing,72,0.7699104173281341,0.8311038543472247
1765495495,11.13,12.080490483571563,breathing,73,0.8808788523136513,0.9504904835715617
1765495496,11.13,11.838228250154069,breathing,74,0.8925715419437218,0.7082282501540682
1765495497,11.13,11.374278237307827,breathing,75,0.8216559759075129,0.24427823730782627
1765495498,11.08,10.8100230223101,breathing,76,0.7364905900558397,-0.26997697768990037
1765495499,11.08,10.017408850288252,breathing,77,0.7454610967564843,-1.0625911497117482
1765495500,11.08,9.843434519177645,breathing,78,0.8025752194225099,-1.236565480822355
1765495501,11.08,10.139965748213413,breathing,79,0.8402572896555864,-0.940034251786587
1765495502,11.08,10.601344172041225,breathing,80,0.8534169496916638,-0.47865582795877515
1765495503,11.08,11.092263875514345,breathing,81,0.8282766040315824,0.012263875514344491
1765495504,11.08,11.516787379970097,breathing,82,0.7800661808263506,0.436787379970097
1765495505,11.08,11.806140023933926,breathing,83,0.738901278268299,0.726140023933926
1765495506,11.08,12.076396919313316,breathing,84,0.7753022042233949,0.996396919313316
1765495507,11.08,12.256846545278236,breathing,85,0.8755292524174326,1.1768465452782362
1765495508,11.57,12.444584475434768,breathing,86,0.9792293715257607,0.8745844754347676
1765495509,11.57,12.553976839917613,breathing,87,0.973266948016586,0.983976839917613
1765495510,11.57,12.518413839266104,breathing,88,0.8472281050326923,0.9484138392661041
1765495511,11.57,12.483312475701428,breathing,89,0.6739398228837417,0.9133124757014279
1765495512,11.57,12.292593222313348,breathing,90,0.48886878092992214,0.722593222313348
1765495513,11.57,12.119245475245252,breathing,91,0.3369499244546184,0.549245475245252
1765495514,11.57,11.945780976621823,breathing,92,0.2572075965288705,0.3757809766218223
1765495515,11.57,11.711852388997716,breathing,93,0.27629549349477617,0.1418523889977159
1765495516,11.57,11.54353881275106,breathing,94,0.3523368479984708,-0.026461187248941087
1765495517,11.57,11.233149722075792,breathing,95,0.4615742725957093,-0.3368502779242082
1765495518,11.34,10.859370794354389,breathing,96,0.5809864152149987,-0.4806292056456112
1765495519,11.34,10.319826078527772,breathing,97,0.7245500793208995,-1.020173921472228
1765495520,11.34,9.987897581246804,breathing,98,0.8406085610285449,-1.352102418753196
1765495521,11.34,9.688627428896988,breathing,99,0.9196230176215615,-1.6513725711030123
1765495522,11.34,9.45352268749703,breathing,100,0.9713949889793226,-1.8864773125029703
1765495523,11.34,9.38683754223293,breathing,101,0.9703378025594128,-1.9531624577670694
1765495524,11.34,9.354806846246019,breathing,102,0.9195191136503089,-1.9851931537539809
1765495525,11.34,9.36405918296415,breathing,103,0.8296168671920505,-1.9759408170358501
1765495526,11.34,9.456971994801739,breathing,104,0.6805761012324939,-1.8830280051982609
1765495527,11.34,9.533233571758899,breathing,105,0.5025086395846001,-1.806766428241101
1765495528,10.62,9.576952637493555,breathing,106,0.31324290749344913,-1.043047362506444
1765495529,10.62,9.622002694222877,breathing,107,0.1926016058310423,-0.9979973057771225
1765495530,10.62,9.57008032445611,breathing,108,0.1148794587717427,-1.0499196755438884
1765495531,10.62,9.49744114350041,breathing,109,0.09417355230905103,-1.1225588564995892
1765495532,10.62,,,110,0.09933690358693123,
