Frame_Idx,Timestamp,Unix_Time,Quality_Flag,Breath_Rate_BPM,App_State,Distances_Being_Analyzed,Presence_Detected,Presence_Distance_m,Intra_Presence_Score,Inter_Presence_Score,Presence_Distance_Index,Radar_Enter_Time
0,8.210201740264893,1770674570.2102017,presence_only,,AppState.NO_PRESENCE_DETECTED,,False,0.0,0.13044142828095096,0.0,0,
1,8.252240657806396,1770674570.2522407,presence_only,,AppState.NO_PRESENCE_DETECTED,,False,0.0,0.2554156199661521,0.8649361414869782,0,
2,8.30415153503418,1770674570.3041515,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.6405821442604057,0.3905976321586929,2.235471010329641,2,8.30415153503418
3,8.35665225982666,1770674570.3566523,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.6405821442604057,0.5164408316957735,4.176883972443033,2,8.30415153503418
4,8.408462285995483,1770674570.4084623,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,0.6152255902034672,6.312879155824371,1,8.30415153503418
5,8.450098037719727,1770674570.450098,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,0.7278332737963034,8.586917966469256,1,8.30415153503418
6,8.501725435256958,1770674570.5017254,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,0.8479903857268859,10.391491985579695,1,8.30415153503418
7,8.553600788116455,1770674570.5536008,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,0.947863250483916,11.520797070590527,1,8.30415153503418
8,8.605275869369507,1770674570.6052759,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.6405821442604057,1.0255490687960265,12.063823346325918,2,8.30415153503418
9,8.656845331192017,1770674570.6568453,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.6405821442604057,1.0877988876571492,12.721429741447924,2,8.30415153503418
10,8.708579301834106,1770674570.7085793,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.6405821442604057,1.1241402538210425,13.566025192368059,2,8.30415153503418
11,8.750160217285156,1770674570.7501602,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.1363332166586602,14.679942325319042,1,8.30415153503418
12,8.801784992218018,1770674570.801785,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.1301818791324894,15.930580706516109,1,8.30415153503418
13,8.853391170501709,1770674570.8533912,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.1211530038083921,17.176760389439735,1,8.30415153503418
14,8.904958009719849,1770674570.904958,presence_only,,AppState.DETERMINE_DISTANCE_ESTIMATE,,True,0.5204729922115796,1.1121726889862402,18.321635521859815,1,8.30415153503418
