Frame_Idx,Timestamp,Unix_Time,Loop_Dt_s,State_Dwell_s,Since_Enter_s,Quality_Flag,Breath_Rate_BPM,Breath_Rate_Hz,Breathing_Valid,App_State,Distances_Being_Analyzed,DBA_Start_Idx,DBA_End_Idx,Distance_Bin_Center_m,Presence_Detected,Presence_Distance_m,Intra_Presence_Score,Inter_Presence_Score,Intra_Max_All,Inter_Max_All,Intra_Max_InSlice,Inter_Max_InSlice,Intra_Over_Inter,Presence_Distance_Index,PSD_Peak_Freq_Hz,PSD_Peak_BPM,PSD_Peak_Height,PSD_Peak_Ratio_1_2,Bandpower_6_30_BPM,Radar_Enter_Time,Script_Path,Run_Config_JSON,Git_Commit
0,5.734930515289307,1770683827.7349305,0.022362242998497095,0.0,,presence_only,,,False,AppState.NO_PRESENCE_DETECTED,,,,,False,0.0,0.17535422223239178,0.0,1.8426803751358245,0.0,,,175354.2222323918,0,,,,,,,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
1,5.777340650558472,1770683827.7773407,0.04198174599878257,0.04241013526916504,,presence_only,,,False,AppState.NO_PRESENCE_DETECTED,,,,,False,0.0,0.31002663048713286,0.4881975907383718,1.5905365919754737,0.9763951814767436,,,0.6350420430715208,0,,,,,,,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
2,5.829329252243042,1770683827.8293293,0.05197079099889379,0.0,0.0,presence_only,,,False,AppState.DETERMINE_DISTANCE_ESTIMATE,,,,,True,0.6405821442604057,0.42321809423295687,1.1071393236460323,1.4994801048432216,2.345022789461354,,,0.382262379207015,2,,,,,,5.829329252243042,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
3,5.882025241851807,1770683827.8820252,0.05256437500065658,0.05269598960876465,0.05269598960876465,presence_only,,,False,AppState.DETERMINE_DISTANCE_ESTIMATE,,,,,True,0.6405821442604057,0.5207846520517407,1.4301045441046991,1.448479870501824,2.399000205480699,,,0.36415819391691956,2,,,,,,5.829329252243042,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
4,5.924531936645508,1770683827.924532,0.04235340699960943,0.09520268440246582,0.09520268440246582,presence_only,,,False,AppState.DETERMINE_DISTANCE_ESTIMATE,,,,,True,0.7606912963092318,0.6144362652475601,1.6538260495992358,1.504906890677086,2.5487120715773828,,,0.37152389386571805,3,,,,,,5.829329252243042,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
5,5.977683782577515,1770683827.9776838,0.05306994200145709,0.14835453033447266,0.14835453033447266,presence_only,,,False,AppState.DETERMINE_DISTANCE_ESTIMATE,,,,,True,0.40036384016275356,0.7040796422870865,1.8038100258773726,1.5564386278295297,2.5537299072680564,,,0.39032893811291713,0,,,,,,5.829329252243042,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
6,6.031009197235107,1770683828.0310092,0.05320544099959079,0.20167994499206543,0.20167994499206543,presence_only,,,False,AppState.DETERMINE_DISTANCE_ESTIMATE,,,,,True,0.40036384016275356,0.7768928102785678,2.070538619794059,1.469224581492241,3.67091018329418,,,0.37521272370332104,0,,,,,,5.829329252243042,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
7,6.084213495254517,1770683828.0842135,0.05293096300010802,0.2548842430114746,0.2548842430114746,presence_only,,,False,AppState.DETERMINE_DISTANCE_ESTIMATE,,,,,True,0.40036384016275356,0.8318765263068574,2.437332386551711,1.3546799498610822,5.004888753855274,,,0.34130600717031123,0,,,,,,5.829329252243042,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
8,6.127283096313477,1770683828.127283,0.04290030699849012,0.29795384407043457,0.29795384407043457,presence_only,,,False,AppState.DETERMINE_DISTANCE_ESTIMATE,,,,,True,0.40036384016275356,0.8838155976843705,2.870317167394942,1.3776695292451293,6.334195414140787,,,0.3079155501727909,0,,,,,,5.829329252243042,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
9,6.1807520389556885,1770683828.180752,0.05304118400090374,0.3514227867126465,0.3514227867126465,presence_only,,,False,AppState.DETERMINE_DISTANCE_ESTIMATE,,,,,True,0.40036384016275356,0.9257469207078798,3.3159727613447956,1.3244438588989942,7.326873106893481,,,0.2791779993857498,0,,,,,,5.829329252243042,/home/mindy/xm125/xm125_breathing_refapp_pi.py,"{""breathing_rate_high"":30,""breathing_rate_low"":6,""breathing_time_series_length_s"":15,""distance_determination_duration"":5,""end_m"":0.7,""enter_k"":1,""enter_max"":0.7,""enter_min"":0.4,""num_distances_to_analyze"":3,""presence_inter_frame_deviation_time_const"":0.5,""presence_inter_frame_fast_cutoff"":20,""presence_inter_frame_slow_cutoff"":0.2,""presence_intra_detection_threshold"":4,""presence_intra_frame_time_const"":0.15,""profile"":""Profile.PROFILE_5"",""start_m"":0.4,""sweeps_per_frame"":16}",c341e39
