Timestamp,Unix_Time,Time_HMS,Belt_Breath_Rate_BPM
1.057,1771608459.057253,11:27:39,0.00
2.057,1771608460.0568855,11:27:40,nan
3.057,1771608461.0568743,11:27:41,nan
4.057,1771608462.0568652,11:27:42,nan
5.057,1771608463.0568585,11:27:43,nan
6.057,1771608464.056874,11:27:44,nan
7.057,1771608465.0568657,11:27:45,nan
8.057,1771608466.0568793,11:27:46,nan
9.057,1771608467.0568807,11:27:47,nan
10.057,1771608468.0568836,11:27:48,nan
11.057,1771608469.0568595,11:27:49,0.00
12.057,1771608470.0568578,11:27:50,nan
13.057,1771608471.0568602,11:27:51,nan
14.057,1771608472.056858,11:27:52,nan
15.057,1771608473.0568597,11:27:53,nan
16.057,1771608474.0568633,11:27:54,nan
17.057,1771608475.0568624,11:27:55,nan
18.057,1771608476.0568619,11:27:56,nan
19.057,1771608477.05686,11:27:57,nan
20.057,1771608478.0568576,11:27:58,nan
21.057,1771608479.0568783,11:27:59,16.61
22.057,1771608480.0568812,11:28:00,nan
23.057,1771608481.0568812,11:28:01,nan
24.057,1771608482.056883,11:28:02,nan
25.057,1771608483.0568798,11:28:03,nan
26.057,1771608484.0568697,11:28:04,nan
27.057,1771608485.0568593,11:28:05,nan
28.057,1771608486.056857,11:28:06,nan
29.057,1771608487.0568583,11:28:07,nan
30.057,1771608488.0568597,11:28:08,nan
31.057,1771608489.0568593,11:28:09,17.36
32.057,1771608490.0568886,11:28:10,nan
33.057,1771608491.056878,11:28:11,nan
34.057,1771608492.0568824,11:28:12,nan
35.057,1771608493.0568807,11:28:13,nan
36.057,1771608494.0568724,11:28:14,nan
37.057,1771608495.0568774,11:28:15,nan
38.057,1771608496.0569017,11:28:16,nan
39.057,1771608497.0568795,11:28:17,nan
40.057,1771608498.0568836,11:28:18,nan
41.057,1771608499.0568612,11:28:19,18.79
42.057,1771608500.0568595,11:28:20,nan
43.057,1771608501.056858,11:28:21,nan
44.057,1771608502.0568588,11:28:22,nan
45.057,1771608503.0568597,11:28:23,nan
46.057,1771608504.056888,11:28:24,nan
47.057,1771608505.0568767,11:28:25,nan
48.057,1771608506.056861,11:28:26,nan
49.057,1771608507.0568569,11:28:27,nan
50.057,1771608508.0568593,11:28:28,nan
51.057,1771608509.0568578,11:28:29,19.42
52.057,1771608510.0568593,11:28:30,nan
53.057,1771608511.056872,11:28:31,nan
54.057,1771608512.05686,11:28:32,nan
55.057,1771608513.0568585,11:28:33,nan
56.057,1771608514.0568664,11:28:34,nan
57.057,1771608515.0568588,11:28:35,nan
58.057,1771608516.0568585,11:28:36,nan
59.057,1771608517.0568895,11:28:37,nan
60.057,1771608518.0568876,11:28:38,nan
61.057,1771608519.0568717,11:28:39,17.44
62.057,1771608520.05686,11:28:40,nan
63.057,1771608521.0568585,11:28:41,nan
64.057,1771608522.0568562,11:28:42,nan
65.057,1771608523.056861,11:28:43,nan
66.057,1771608524.056855,11:28:44,nan
67.057,1771608525.0568595,11:28:45,nan
68.057,1771608526.0568595,11:28:46,nan
69.057,1771608527.0568576,11:28:47,nan
70.057,1771608528.0568585,11:28:48,nan
71.057,1771608529.0568583,11:28:49,17.90
72.057,1771608530.0568602,11:28:50,nan
73.057,1771608531.0568585,11:28:51,nan
74.057,1771608532.0568604,11:28:52,nan
75.057,1771608533.056857,11:28:53,nan
76.057,1771608534.0568552,11:28:54,nan
77.058,1771608535.0575044,11:28:55,nan
78.057,1771608536.056853,11:28:56,nan
79.057,1771608537.056855,11:28:57,nan
80.057,1771608538.0568612,11:28:58,nan
81.057,1771608539.0568538,11:28:59,17.44
82.057,1771608540.0568674,11:29:00,nan
83.057,1771608541.0568874,11:29:01,nan
84.057,1771608542.0569413,11:29:02,nan
85.057,1771608543.0568597,11:29:03,nan
86.057,1771608544.0569303,11:29:04,nan
87.057,1771608545.0568655,11:29:05,nan
88.057,1771608546.0568602,11:29:06,nan
89.057,1771608547.0568564,11:29:07,nan
90.057,1771608548.0568566,11:29:08,nan
91.057,1771608549.0568583,11:29:09,15.71
92.057,1771608550.0568619,11:29:10,nan
93.057,1771608551.0568569,11:29:11,nan
94.057,1771608552.0568593,11:29:12,nan
95.057,1771608553.05686,11:29:13,nan
96.057,1771608554.0568583,11:29:14,nan
97.057,1771608555.0568573,11:29:15,nan
98.057,1771608556.0568674,11:29:16,nan
99.057,1771608557.05686,11:29:17,nan
100.057,1771608558.0568602,11:29:18,nan
101.059,1771608559.0586834,11:29:19,16.23
102.057,1771608560.0568593,11:29:20,nan
103.057,1771608561.0568593,11:29:21,nan
104.057,1771608562.0568595,11:29:22,nan
105.057,1771608563.0568569,11:29:23,nan
106.057,1771608564.0568576,11:29:24,nan
107.057,1771608565.0568573,11:29:25,nan
108.057,1771608566.0568814,11:29:26,nan
109.057,1771608567.056854,11:29:27,nan
110.057,1771608568.0568569,11:29:28,nan
111.057,1771608569.056858,11:29:29,16.04
112.057,1771608570.056867,11:29:30,nan
113.057,1771608571.0568564,11:29:31,nan
114.057,1771608572.0568738,11:29:32,nan
115.057,1771608573.0568602,11:29:33,nan
116.057,1771608574.0568576,11:29:34,nan
117.057,1771608575.0568588,11:29:35,nan
118.057,1771608576.0568552,11:29:36,nan
119.057,1771608577.056856,11:29:37,nan
120.057,1771608578.056855,11:29:38,nan
121.057,1771608579.0568595,11:29:39,14.60
122.057,1771608580.0568683,11:29:40,nan
123.057,1771608581.0568569,11:29:41,nan
124.057,1771608582.0568573,11:29:42,nan
125.057,1771608583.0568745,11:29:43,nan
126.057,1771608584.0568593,11:29:44,nan
127.057,1771608585.0568566,11:29:45,nan
128.057,1771608586.0568578,11:29:46,nan
129.057,1771608587.0568597,11:29:47,nan
130.057,1771608588.0568607,11:29:48,nan
131.057,1771608589.0568573,11:29:49,14.24
132.057,1771608590.0568721,11:29:50,nan
133.057,1771608591.056861,11:29:51,nan
134.057,1771608592.0568607,11:29:52,nan
135.057,1771608593.0568538,11:29:53,nan
136.057,1771608594.0568597,11:29:54,nan
137.057,1771608595.0568576,11:29:55,nan
138.057,1771608596.0568569,11:29:56,nan
139.057,1771608597.056856,11:29:57,nan
140.057,1771608598.056855,11:29:58,nan
141.057,1771608599.0568554,11:29:59,12.98
142.057,1771608600.056865,11:30:00,nan
143.057,1771608601.0568578,11:30:01,nan
144.057,1771608602.0568562,11:30:02,nan
145.057,1771608603.0568566,11:30:03,nan
146.057,1771608604.056872,11:30:04,nan
147.057,1771608605.0568564,11:30:05,nan
148.057,1771608606.0568573,11:30:06,nan
149.057,1771608607.056857,11:30:07,nan
150.057,1771608608.0568616,11:30:08,nan
151.057,1771608609.0568564,11:30:09,12.74
152.057,1771608610.0568569,11:30:10,nan
153.057,1771608611.0568547,11:30:11,nan
